cholesterol_level,population_perc
50,0.0129
55,0.0192
60,0.0283
65,0.0412
70,0.059
75,0.0833
80,0.116
85,0.1593
90,0.2156
95,0.2878
100,0.3788
105,0.4915
110,0.6287
115,0.793
120,0.9862
125,1.2091
130,1.4617
135,1.7422
140,2.0472
145,2.372
150,2.7095
155,3.0517
160,3.3887
165,3.71
170,4.0047
175,4.2621
180,4.4722
185,4.6268
190,4.7194
195,4.7462
200,4.706
205,4.6006
210,4.4344
215,4.2141
220,3.9484
225,3.6475
230,3.3222
235,2.9833
240,2.6414
245,2.3057
250,1.9845
255,1.684
260,1.4089
265,1.1621
270,0.9452
275,0.7579
280,0.5992
285,0.467
290,0.3589
295,0.272
300,0.2032
305,0.1496
310,0.1087
315,0.0778
320,0.0549
325,0.0382
330,0.0262
335,0.0178
340,0.0118
345,0.0078
350,0.0051
355,0.0032
360,0.002
365,0.0013
370,0.0008
375,0.0005
380,0.0003
385,0.0002
390,0.0001
395,0.0001
400,0.0
